Bank,City,BIC
ACCENTURE,DUBLIN,ACNTIE2D
BLOOMBERG DATA MANAGEMENT SERVICES LIMITED,DUBLIN,BPLRIE2D
CITIBANK EUROPE PLC,DUBLIN,CITIIE2XFFT
DANSKE BANK A/S,DUBLIN,DABAIE2D735
DANSKE BANK A/S,DUBLIN,DABAIE2D937
DANSKE BANK A/S,DUBLIN,DABAIE2D508
DANSKE BANK A/S,DUBLIN,DABAIE2D601
DANSKE BANK A/S,DUBLIN,DABAIE2D927
DANSKE BANK A/S,DUBLIN,DABAIE2D855
2019 POPOLARE BARI SME S.R.L.,CONEGLIANO,PBERIT22
BANCA ALPI MARITTIME CREDITO COOPERATIVO CARRU'-SOC.COOP.,CARRU',ICRAITRRCI0
BANCA CARIGE SPA - CASSA DI RISPARMIO DI GENOVA E IMPERIA,GENOVA,CRGEITGG445
BANCA CARIGE SPA - CASSA DI RISPARMIO DI GENOVA E IMPERIA,GENOVA,CRGEITGG119
BANCA CARIGE SPA - CASSA DI RISPARMIO DI GENOVA E IMPERIA,PIEVE LIGURE,CRGEITGG164
BANCA CASSA DI RISPARMIO DI SAVIGLIANO S.P.A.,SAVIGLIANO,SARCIT2S
BANCA D'ITALIA,ROMA,BITAITRRTDS
BANCA DI CREDITO COOPERATIVO ABRUZZESE-CAPPELLE SUL TAVO-SOC.COOP.PER AZIONI A MUTUALITA' PREVALENTE,CAPPELLE SUL TAVO,ICRAITRRC20
BANCA DI CREDITO COOPERATIVO DI FLUMERI S.C.R.L.,FLUMERI,CCRTIT2TFLU
"A AND D CO., LTD.",TOSHIMA-KU,ADDCJPJT
"BANK OF OKINAWA, LTD., THE",NAHA,BOKIJPJZ
DAISHI HOKUETSU BANK LTD.,NIIGATA,DAISJPJT
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, TOKYO BRANCH",CHIYODA-KU,ICBKJPJT
"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD.,",OSAKA,ICBCJPJTOSA
NATIONAL MUTUAL INSURANCE FEDERATION OF AGRICULTURAL COOPERATIVES,CHIYODA-KU,ZENKJPJJ
"SAN-IN GODO BANK, LTD., THE",MATSUE,SGBKJPJT
"TAISHIN INTERNATIONAL BANK CO., LTD",CHIYODA-KU,TSIBJPJT
"UNITED OVERSEAS BANK LTD., TOKYO BRANCH",CHIYODA-KU,UOVBJPJT
ABSA BANK KENYA PLC,ELDORET,BARCKENXELD
EASTERN AND SOUTHERN AFRICAN TRADE AND DEVELOPMENTBANK,NAIROBI,ESATKENA
NATIONAL BANK OF KENYA LTD.,NAIROBI,NBKEKENX949
AFFIN BANK BERHAD,KUALA LUMPUR,PHBMMYKL
CREDIT SUISSE SECURITIES (MALAYSIA) SDN. BHD.,KUALA LUMPUR,CRESMYKL
MALAYAN BANKING BERHAD (MAYBANK),KUALA LUMPUR,MBBEMYKLPUD
STANDARD CHARTERED BANK MALAYSIA BERHAD,LABUAN,SCBLMYKXLAB
BANK OF AFRICA - MALI,BAMAKO,AFRIMLBA
BANK OF AFRICA - MALI,BAMAKO,AFRIMLBA
"AFORE XXI BANORTE, S.A. DE C.V.",CIUDAD DE MEXICO,AFXBMXMM
"BANCO S3 CACEIS MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE",CIUDAD DE MEXICO,BSMXMXMMCAF
"DEUTSCHE BANK MEXICO, SA",MEXICO,DEUTMXMM
AL BARID BANK,CASABLANCA,ABBMMAMC
BANQUE POPULAIRE SAFI,SAFI,BCPOMAMCSAF
3S MONEY CLUB LIMITED,AMSTERDAM,MOLUNL22
ACHMEA BANK NV,LEUSDEN,ARBNNL22
B.V. HOLDING MAATSCHAPPIJ DAMEN,GORINCHEM,DSGRNL2G
COMMERZBANK AG KANTOOR AMSTERDAM,AMSTERDAM,COBANL2XTAM
EUROCLEAR NEDERLAND (PREVIOUSLY KNOWN AS NECIGEF),AMSTERDAM,NECINL2A775
HEINEKEN INTERNATIONAL B.V.,AMSTERDAM,HNKNNL2ANG1
KLM ROYAL DUTCH AIRLINES,AMSTELVEEN,KLMTNL2A
NEDERLANDS CENTRAAL INSTITUUT VOOR GIRAAL EFFECTENVERKEER,AMSTERDAM,ESESNL2APEN
PAYU GLOBAL B.V.,AMSTERDAM,PGLONL2A
ACCIDENT COMPENSATION CORPORATION,WELLINGTON,ACCNNZ2B
KIWIBANK LIMITED,WELLINGTON,KIWINZ22
